Station Name, Latitude, Longitude
Gurah First Mile Hub, -7.822106, 112.079575
Nganjuk 2 First Mile Hub, -7.600072, 111.912217
Maos First Mile Hub, -7.620591, 109.146111
Bojong 2 First Mile Hub, -6.952889, 109.605389
Pancoran Mas 2 First Mile Hub, -6.394946, 106.796581
Sawahan Kab. Madiun First Mile Hub, -7.579196, 111.543048
Penjaringan 37 First Mile Hub, -6.115538, 106.726131
Cikupa 7 First Mile Hub, -6.220818, 106.529453
Marga First Mile Hub, -8.550775, 115.143049
Sepatan Timur First Mile Hub, -6.12129, 106.619693
Kawunganten First Mile Hub, -7.59638, 108.919222
Bumiaji First Mile Hub, -7.864844, 112.540223
Kosambi 25 First Mile Hub, -6.073917, 106.680397
Warehouse DHS Makassar, -5.090416, 119.466289
SBS Medan Deli DC, 3.677327, 98.697099
Surabaya NDC, -7.243738, 112.690845
Cinambo NDC, -6.932576, 107.694505
SBS Malang DC, -7.949347, 112.69182
SBS Solo DC, -7.562397, 110.75826
MH 1 Galang 3 Hub, 0.910644, 104.12238
MH 1 Menukung Hub, -0.42138, 112.233177
MH 1 Gunung Timang Hub, -1.268367, 115.119455
MH 2 Nengah Bulik Hub, -2.193972, 111.515833
MH 1 Tempunak Hub, -0.0335, 111.348972
MH 1 Wolio Hub, -5.468159, 122.633931
MH 1 Galang 2 Hub, 1.090827, 120.802806
MH 2 Alla Hub, -3.325884, 119.817782
MH 1 Popayato Hub, 0.506246, 121.450293
MH 1 Mandolang Hub, 1.459889, 124.799053
Medan Deli DC, 3.659141, 98.699156
Bandung Kopo 2 DC, -6.956495, 107.58807
Kosambi RDC, -6.091295, 106.673605
SBS Bekasi DC, -6.196226, 106.976694
Arjawinangun 2 DC, -6.643742, 108.39564
Purwodadi Pasuruan Hub, -7.792868, 112.738533
Praya Barat 2 Hub, -8.791917, 116.225778
Bungku Timur Hub, -2.726916, 122.022019
Cermin Nan Gadang Hub, -2.391639, 102.63852
Terusan Nunyai Hub, -4.757123, 105.212293
Bogor Selatan EHub, -6.611148, 106.799148
Boja 2 Hub, -7.125451, 110.278726
Cisoka First Mile Hub, -6.257518, 106.425167
Setiabudi 4 First Mile Hub, -6.216179, 106.822837
Pondok Aren 4 First Mile Hub, -6.250444, 106.696333
Kab. Pekalongan 2 First Mile Hub, -6.952759, 109.645856
Cilacap Selatan First Mile Hub, -7.736111, 109.013889
Kedungadem First Mile Hub, -7.257121, 112.004106
Purbaratu First Mile Hub, -7.332518, 108.246654
Sekampung First Mile Hub, -5.15431, 105.404912
Panongan 6 First Mile Hub, -6.296167, 106.55175
Kelapa Dua 9 First Mile Hub, -6.257622, 106.606401
Jeumpa First Mile Hub, 5.206448, 96.666375
Citeureup 3 First Mile Hub, -6.515925, 106.902605
Cluwak First Mile Hub, -6.534667, 110.975972
Cengkareng 42 First Mile Hub, -6.153847, 106.764528
Magelang Utara First Mile Hub, -7.450795, 110.21938
Bukit Kecil First Mile Hub, -2.985677, 104.75071
Penjaringan 36 First Mile Hub, -6.14138, 106.773218
Patimpeng Hub, -4.955222, 120.115861
Virtual Semarang 4 EHub, -6.98358, 110.33997
Tamalanrea 2 Hub, -5.091436, 119.489147
Gabus Kab Grobogan Hub, -7.179417, 111.219778
Kebasen Hub, -7.564205, 109.214991
Way Pengubuan 2 Hub, -4.891647, 105.080842
Mesjid Raya Hub, 5.650814, 95.425007
Ulu Manna Hub, -4.39745, 102.944683
Sipora Selatan Hub, -2.189755, 99.728008
Cibeber Kab Lebak Hub, -6.832486, 106.329378
Selagan Raya Hub, -2.591181, 101.30328
Gunung Labuhan Hub, -4.790022, 104.57878
Ngaringan Hub, -7.049625, 111.215615
Ponjong Hub, -7.969253, 110.709797
Serang Baru 4 Hub, -6.419364, 107.188829
Medan Selayang 3 Hub, 3.552597, 98.660431
Cilacap Selatan Hub, -7.736111, 109.013889
Kedungadem Hub, -7.257121, 112.004106
Tasik Putri Puyu Hub, 1.24595, 102.449403
Sukorejo Kendal 2 Hub, -7.095194, 110.04425
Binuang 2 Hub, -3.16381, 115.092541
Tanjung 2 Hub, -2.143061, 115.389469
Blimbing 2 Hub, -7.93297, 112.64961
Tana Lili Hub, -2.61296, 120.595515
Wanasari 2 Hub, -6.864991, 109.003599
Sawahan Kab. Nganjuk Hub, -7.712196, 111.78773
Bekri Hub, -5.089162, 105.14126
Bonti 2 Hub, 0.460808, 110.584502
Taman Rejo Hub, -1.491608, 103.68576
Payung 2 Hub, -2.601261, 106.148087
Tanjung Sakti Pumi 2 Hub, -4.153318, 103.070159
Kumpeh Ulu 2 Hub, -1.587278, 103.811158
Gembong Hub, -6.704359, 110.941159
Pulau Rimau 2 Hub, -2.641074, 104.42841
Cakranegara Hub, -8.568163, 116.139586
Pringsurat Hub, -7.33428, 110.317091
Mowewe Hub, -3.963635, 121.732054
Kuala Jambi Hub, -1.028389, 103.803722
Pantai Lunci Hub, -3.052083, 111.030333
Singkep Barat Hub, -0.439972, 104.447807
Singkawang Selatan Hub, 0.832882, 108.90624
Silat Hulu Hub, 0.248, 111.992194
Sekayam 2 Hub, 0.823166, 110.540902
Bambaira Hub, -0.953556, 119.521
Sidoan Hub, 0.273173, 120.203404
Lahei Hub, -0.85983, 114.929651
Sangalla Utara Hub, -3.078357, 119.91964
Makale 2 Hub, -3.08744, 119.813664
Kulisusu Barat Hub, -4.672595, 123.062107
Pedamaran Timur Hub, -3.567056, 105.071222
